name,kind,elev_m,lon,lat
Abongabong,mountain,2985,96.7998,4.25007
Adrar Bou Nasser,mountain,3340,-3.88,33.5901
Ak Tag,mountain,6748,84.60243,36.73358
Alto Coloane,mountain,176,113.56998,22.11999
Alto de Buey,mountain,1810,-77.24004,6.08009
Amba Farit,mountain,4270,39.09995,10.9501
Anai Mudi,mountain,2695,77.06657,10.1701
Anderson Summit,mountain,2810,-90.85002,-85.03984
Aniakchak Peak,mountain,1356,-158.12352,56.87282
Aoraki (Mount Cook),mountain,3754,170.14113,-43.59566
Aragats Lerr,mountain,4090,44.19995,40.52998
Argun,mountain,3418,36.7473,6.10982
Aripo Peak,mountain,940,-61.24998,10.71999
Asahi-dake,mountain,2290,142.855,43.65779
Aucanquilcha,mountain,6176,-68.47204,-21.22842
Ayrybaba,mountain,3137,66.56993,37.83009
Bairiga,mountain,6882,96.71998,29.16997
Bălănești,mountain,429,28.09001,47.21996
Baldy Mountain,mountain,831,-100.71186,51.4477
Balsam Beartown Mountain,mountain,1436,-81.41002,37.0801
Barbeau Peak,mountain,2616,-75.02581,81.91059
Barrington Tops,mountain,1555,151.47044,-32.00699
Batura Mustagh I,mountain,7795,74.56044,36.53828
Bazar Dyuzi,mountain,4466,47.85999,41.2101
Beerenberg,mountain,2277,-8.17003,71.08007
Bellevue de L'Inini,mountain,851,-53.52,3.58009
Belukha,mountain,4506,86.60634,49.80708
Ben Nevis,mountain,1343,-5.00499,56.797
Benara,mountain,660,45.14002,-12.96002
Big Ben,mountain,2745,73.52003,-53.10004
Black Elk Peak,mountain,2207,-103.53976,43.88628
Black Mountain,mountain,1530,-160.33969,68.56263
Black Mountain,mountain,568,139.7438,-21.48434
Blue Hills,mountain,49,-72.30003,21.8
Blue Mountain Peak,mountain,2256,-76.593,18.06273
Bluff Knoll,mountain,1096,118.24991,-34.36667
Bogda Feng,mountain,5445,88.31741,43.79512
Bokkeveldberg,mountain,843,18.98058,-31.1254
Borah Peak,mountain,3859,-113.78222,44.1401
Botev,mountain,2376,24.91992,42.71997
Brandberg,mountain,2579,14.57523,-21.16024
Brocken,mountain,1141,10.61855,51.82448
Bukit Pagon,mountain,1850,115.33,4.29999
Bukit Raya,mountain,2278,112.68322,-0.66684
Bukit Timah,mountain,176,103.78996,1.34999
Buku Sulat,mountain,1508,127.9724,0.75284
Bulu Rantekombola,mountain,3455,120.02496,-3.3406
Buurgplaatz,mountain,559,6.02005,50.15998
Canlaon Peak,mountain,2430,123.14173,10.45647
Cape Colbeck,cape,4069,-158.25766,-77.11113
Carrauntoohil,mountain,1038,-9.74272,51.99897
Cero Raya,mountain,2070,-66.37559,5.45167
Cerro Aconcagua,mountain,6959,-70.0158,-32.65568
Cerro Cantillana,mountain,2281,-70.97001,-33.97002
Cerro Catedral,mountain,514,-54.66001,-34.34001
Cerro Champaquí,mountain,2770,-64.916,-31.99164
Cerro Chirripó,mountain,3820,-83.48865,9.4836
Cerro Darwin,mountain,2580,-69.60001,-54.65988
Cerro de Los Inocentes,mountain,1650,-80.74457,-33.74262
Cerro de Punta,mountain,1338,-66.59003,18.16997
Cerro El Copey,mountain,957,-63.91005,11.01008
Cerro El Jabaln,mountain,3440,-101.37998,25.18001
Cerro El Pital,mountain,2730,-89.11997,14.38007
Cerro Gordo,mountain,3340,-104.94999,23.24
Cerro Grande,mountain,2780,-107.54402,28.78872
Cerro Las Minas,mountain,2849,-88.69,14.53998
Cerro Maine Hanari,mountain,860,-73.09,-0.73001
Cerro Marahuaca,mountain,2832,-65.41003,3.65999
Cerro Mohinora,mountain,3348,-107.00528,26.03429
Cerro Nube Flan,mountain,3750,-96.187,16.21381
Cerro Picacho la Laguna,mountain,1980,-109.94651,23.55781
Cerro San Miguel,mountain,830,-60.64003,-19.29988
Cerro San Rafael,mountain,3710,-100.55999,25.36
Cerro San Valentín,mountain,4058,-73.34601,-46.59489
Cerro Tres Kandú,mountain,842,-56.16004,-25.88007
Cerro Tres Picos,mountain,1243,-61.9677,-38.13326
Cerro Tupungato,mountain,6550,-69.76873,-33.35453
Cerro Viejo,mountain,2960,-103.43006,20.36998
Chapada dos Veadeiros,mountain,1691,-47.49006,-13.99008
Chappal Wadi,mountain,2419,11.71995,7.05999
Cheekha Dar,mountain,3611,44.91989,36.77999
Chilkoot Pass,pass,1067,-135.29505,59.7037
Chimborazo,mountain,6267,-78.81749,-1.46926
Chiri-san,mountain,1915,127.73046,35.3368
Chuo Yang Sin,mountain,2420,108.43015,12.40432
Clingmans Dome,mountain,2025,-83.49742,35.58694
Cold Mountain,mountain,739,173.13342,52.88532
Concordia Station (Fr. and It.),plateau,3233,123.35985,-75.09236
Cone Peak,mountain,506,143.49682,-13.37904
Consuelo Peak,mountain,1174,148.11988,-24.95317
Corno Grande,mountain,2912,13.56116,42.48732
Crazy Peak,mountain,3417,-110.28002,46.01997
Crêt de la Neige,mountain,1718,5.93983,46.26995
Crocus Hill,mountain,65,-63.05997,18.22341
Crown Mountain,mountain,473,-64.97,18.35997
Daba Shan,mountain,2708,108.99999,32.24987
Daiyun Shan,mountain,1856,118.18399,25.68091
Daravica,mountain,2656,20.13998,42.52997
Daxue Shan,mountain,3500,99.64005,24.11
Death Valley,depression,-86,-116.82823,36.24226
Demirkazik,mountain,3756,35.15603,37.8357
Denali,mountain,6194,-151.0073,63.06941
Devils Paw,mountain,2593,-133.8624,58.74141
Dhaulagiri,mountain,8172,83.49514,28.69646
Die Berg,mountain,2331,30.15701,-25.22225
Dinara,mountain,1831,16.38001,44.06
Dingli Cliffs,mountain,253,14.40001,35.85999
Djebel Chelia,mountain,2326,6.66648,35.33336
Doda Betta,mountain,2636,76.73003,11.39998
Doi Inthanon,mountain,2580,98.49124,18.59829
Dombai-Ulgen,mountain,4038,41.74002,43.23
Dome A (Argus),plateau,4093,77.3477,-80.35603
Doyle's Delight,mountain,1174,-89.04003,16.50002
Dund Sayhni Nuru,mountain,2825,103.77526,43.6468
Durham Heights,mountain,724,-122.95001,71.14009
Durmitor,mountain,2522,19.03002,43.13007
Dzyarzhynskaya,mountain,346,27.07998,53.86001
Eagle Mountain,mountain,701,-90.5596,47.9046
El Teleno,mountain,2183,-6.39002,42.34999
Emi Koussi,mountain,3415,18.55178,19.79339
Emlembe,mountain,1862,31.13004,-25.91982
England Peak,mountain,2150,-52.80947,-82.61812
Er Richat Depression,depression,485,-11.37305,21.20552
Erciyes Dagi,mountain,3917,35.45,38.52995
Fan Si Pan,mountain,3142,103.77211,22.3133
Faure Peak,mountain,3940,-128.63,-85.71002
Feldberg,mountain,1493,8.01281,47.87725
Fenghuang Shan,mountain,2570,108.67832,27.8955
Finsteraarhorn,mountain,4274,8.13003,46.54001
Fishers Peak,mountain,2934,-104.46,37.09997
Fox Mountain,mountain,2404,-133.36999,61.91999
Fuji,mountain,3776,138.73094,35.35792
Fuji Station (Japan),plateau,3810,39.69766,-77.32278
Fuyul Sojol,mountain,3030,120.20139,0.61519
Galdhpiggen,mountain,2469,8.31268,61.63648
Gangkar Punsum,mountain,7570,90.45994,28.04999
Gannett Peak,mountain,4207,-109.65004,43.17999
