name,model,manufacturer,manufacturer_qid,wing_class,mass_dry_gross_kg,max_water_ballast_l,speed1_kmh,sink1_ms,speed2_kmh,sink2_ms,speed3_kmh,sink3_ms,wing_area_m2,wing_loading_kg_m2,flaps_mass_kg,flaps_count,flaps,span_m,span_source,fai_class,wikidata_qid,easa_tcds,easa_url
1-26E,1-26E,Schweizer Aircraft Corporation,Q1414290,glider,315.0,0.0,82.3,-1.04,117.73,-1.88,156.86,-3.8,14.87,21.18,,,,12.2,wikipedia,,Q7433248,,
1-34,1-34,Schweizer Aircraft Corporation,Q1414290,glider,354.0,0.0,89.82,-0.8,143.71,-2.1,179.64,-3.8,14.03,25.23,,,,15,wikipedia,,Q7433251,,
1-35A,1-35A,Schweizer Aircraft Corporation,Q1414290,glider,381.0,179.0,98.68,-0.74,151.82,-1.8,202.87,-3.9,9.64,39.52,,,,15,wikipedia,,Q7433252,,
1-36 Sprite,1-36 Sprite,Schweizer Aircraft Corporation,Q1414290,glider,322.0,0.0,75.98,-0.68,132.96,-2.0,170.95,-4.1,13.1,24.58,,,,14.072,wikipedia,,Q16984408,,
604,604,Glasflügel,Q1468885,glider,570.0,100.0,112.97,-0.72,150.64,-1.42,207.13,-4.1,16.26,35.06,,,,22,easa,open,Q1529457,EASA.A.241,https://www.easa.europa.eu/en/downloads/7218/en
Antares_18S,Antares 18S,Lange Aviation,Q879444,glider,350.0,250.0,100.0,-0.54,120.0,-0.63,150.0,-1.07,10.97,31.91,,,,,,,Q1804903,,
Antares_18T,Antares 18T,Lange Aviation,Q879444,glider,395.0,205.0,100.0,-0.54,120.0,-0.69,150.0,-1.11,10.97,36.01,,,,,,,Q1804903,,
Antares_20E,Antares 20E,Lange Aviation,Q879444,glider,530.0,130.0,100.0,-0.52,120.0,-0.61,150.0,-0.91,12.6,42.06,,,,20,wikipedia,,Q1804903,,
Apis2 15m,Apis2,,,glider,310.0,0.0,80.0,-0.6,100.0,-0.75,140.0,-1.45,12.4,25.0,,,,15,name,,Q7990406,,
Apis_13m,Apis,,,glider,200.0,45.0,100.0,-0.74,120.0,-1.01,150.0,-1.66,10.36,19.31,,,,13,name,,,,
ARCUS M,ARCUS M,Schempp-Hirth,Q185996,glider,680.0,185.0,105.0,-0.595,153.0,-1.1,197.0,-2.0,15.6,43.59,,,,20,easa,,Q2233207,EASA.A.532,https://www.easa.europa.eu/en/downloads/7092/en
ASG29-15,ASG29-15,Alexander Schleicher GmbH & Co,Q565371,glider,362.0,165.0,108.8,-0.635,156.4,-1.182,211.13,-2.54,9.2,39.35,,,,15,easa,,Q623251,EASA.A.220,https://www.easa.europa.eu/en/downloads/7236/en
ASG29-18,ASG29-18,Alexander Schleicher GmbH & Co,Q565371,glider,355.0,225.0,85.0,-0.47,90.0,-0.48,185.0,-2.0,,,,,,,,,Q623251,,
ASG29E-18,ASG29E-18,,,glider,400.0,200.0,90.0,-0.499,95.5,-0.51,196.4,-2.12,,,,,,,,,,,
ASH-25 (PAS),ASH-25,Alexander Schleicher GmbH & Co,Q565371,glider,693.0,120.0,105.67,-0.56,163.25,-1.34,211.26,-2.5,16.31,42.49,,,,25.6,wikipedia,open,Q967435,,
ASH-25 (PIL),ASH-25,Alexander Schleicher GmbH & Co,Q565371,glider,602.0,120.0,98.5,-0.52,152.18,-1.25,196.93,-2.3,16.31,36.91,,,,25.6,wikipedia,open,Q967435,,
ASH-25M 1,ASH-25M 1,Alexander Schleicher GmbH & Co,Q565371,glider,660.0,121.0,121.3,-0.73,159.35,-1.31,206.22,-2.4,16.31,40.47,,,,25.6,wikipedia,open,Q967435,,
ASH-25M 2,ASH-25M 2,Alexander Schleicher GmbH & Co,Q565371,glider,750.0,121.0,130.01,-0.78,169.96,-1.4,219.94,-2.6,16.31,45.98,,,,25.6,wikipedia,open,Q967435,,
ASH-26E,ASH-26E,Alexander Schleicher GmbH & Co,Q565371,glider,435.0,90.0,90.0,-0.51,96.0,-0.53,185.0,-2.0,,,,,,,,,Q607719,,
ASK-13,ASK-13,Alexander Schleicher GmbH & Co,Q565371,glider,380.0,0.0,70.0,-0.747,110.0,-1.453,136.0,-2.537,17.5,21.71,,,,16,wikipedia,,Q2238753,,
ASK-21,ASK-21,Alexander Schleicher GmbH & Co,Q565371,glider,450.0,0.0,100.0,-0.82,120.0,-1.1,150.0,-1.9,17.95,25.07,,,,17,easa,,Q613581,EASA.A.221,https://www.easa.europa.eu/en/downloads/7234/en
ASK-23,ASK-23,Alexander Schleicher GmbH & Co,Q565371,glider,330.0,0.0,100.0,-0.85,120.0,-1.19,150.0,-2.02,12.9,25.58,,,,15,wikipedia,,Q1469380,,
Astir CS,Astir CS,Grob Aircraft,Q561036,glider,330.0,90.0,75.0,-0.7,93.0,-0.74,185.0,-3.1,12.4,26.61,,,,15,easa,,Q260836,EASA.A.250,https://www.easa.europa.eu/en/downloads/7216/en
ASW-12,ASW-12,Alexander Schleicher GmbH & Co,Q565371,glider,948.0,189.0,95.0,-0.57,148.0,-1.48,183.09,-2.6,13.0,72.92,,,,,,,Q1626226,,
ASW-15,ASW-15,Alexander Schleicher GmbH & Co,Q565371,glider,349.0,91.0,97.56,-0.77,156.12,-1.9,195.15,-3.4,11.0,31.73,,,,15,wikipedia,,Q366103,,
ASW-17,ASW-17,Alexander Schleicher GmbH & Co,Q565371,glider,522.0,151.0,114.5,-0.7,169.05,-1.68,206.5,-2.9,14.84,35.18,,,,20,wikipedia,,Q2238705,,
ASW-19,ASW-19,Alexander Schleicher GmbH & Co,Q565371,glider,363.0,125.0,97.47,-0.74,155.96,-1.64,194.96,-3.1,11.0,33.0,,,,15,wikipedia,,Q489183,,
ASW-20,ASW-20,Alexander Schleicher GmbH & Co,Q565371,glider,377.0,159.0,116.2,-0.77,174.3,-1.89,213.04,-3.3,10.5,35.9,,,,15,wikipedia,,Q622931,,
ASW-22BLE,ASW-22BLE,Alexander Schleicher GmbH & Co,Q565371,glider,465.0,285.0,100.0,-0.47,120.0,-0.63,150.0,-1.04,16.7,27.84,,,,26.58,wikipedia,open,Q2238720,,
ASW-24,ASW-24,Alexander Schleicher GmbH & Co,Q565371,glider,350.0,159.0,108.82,-0.73,142.25,-1.21,167.41,-1.8,10.0,35.0,,,,15,wikipedia,,Q2238726,,
ASW-27 Wnglts,ASW-27,Alexander Schleicher GmbH & Co,Q565371,glider,357.0,165.0,108.8,-0.64,156.4,-1.18,211.13,-2.5,9.0,39.67,357.0,6,0:5;75:4;83:S1;105:S2;127:2;171:1,15,easa,,Q680871,EASA.A.220,https://www.easa.europa.eu/en/downloads/7236/en
ASW28-18,ASW28-18,Alexander Schleicher GmbH & Co,Q565371,glider,345.0,190.0,65.0,-0.47,107.0,-0.67,165.0,-2.0,,,,,,,,,Q445098,,
Blanik L13,Blanik L13,LET Aircraft Industries,Q302544,glider,472.0,0.0,85.0,-0.84,143.0,-3.32,200.0,-9.61,19.1,24.71,,,,16.2,easa,,Q1418798,EASA.A.024,https://www.easa.europa.eu/en/downloads/7477/en
Blanik L23,Blanik L23,LET Aircraft Industries,Q302544,glider,510.0,0.0,95.0,-0.94,148.0,-2.6,200.0,-6.37,19.1,26.7,,,,,,,Q868793,,
Carat,Carat,AMS Flight,Q4652729,glider,470.0,0.0,100.0,-0.83,120.0,-1.04,150.0,-1.69,10.58,44.42,,,,15,easa,,Q4652726,EASA.A.296,https://www.easa.europa.eu/en/downloads/137896/en
Cirrus_18m,Cirrus,Schempp-Hirth,Q185996,glider,330.0,100.0,100.0,-0.74,120.0,-1.06,150.0,-1.88,12.6,26.19,,,,18,name,18m,Q2233215,,
Std Cirrus,Std Cirrus,Schempp-Hirth,Q185996,glider,337.0,80.0,93.23,-0.74,149.17,-1.71,205.1,-4.2,10.04,33.57,,,,15,easa,,Q938444,EASA.A.278,https://www.easa.europa.eu/en/downloads/7206/en
Delta USHPA-2,Delta USHPA-2,,,hang_glider,100.0,0.0,30.0,-1.1,44.3,-1.52,58.0,-3.6,,,,,,,,,,,
Delta USHPA-3,Delta USHPA-3,,,hang_glider,100.0,0.0,37.0,-0.95,48.1,-1.15,73.0,-3.6,,,,,,,,,,,
Delta USHPA-4,Delta USHPA-4,,,hang_glider,100.0,0.0,37.0,-0.89,48.3,-1.02,76.5,-3.3,,,,,,,,,,,
"Hi performance Hang glider competition 2018 ( T2C, Laminal, Combat ...)","Hi performance Hang glider competition 2018 ( T2C, Laminal, Combat ...)",,,hang_glider,100.0,0.0,35.5,-0.85,47.5,-0.97,80.0,-2.54,12.6,7.94,,,,,,,,,
DG-100,DG-100,DG Flugzeugbau,Q449793,glider,300.0,100.0,100.0,-0.73,120.0,-1.0,150.0,-1.7,11.0,27.27,,,,15,easa,,Q442463,EASA.A.239,https://www.easa.europa.eu/en/downloads/7220/en
DG-200,DG-200,DG Flugzeugbau,Q449793,glider,300.0,120.0,100.0,-0.68,120.0,-0.86,150.0,-1.3,10.0,30.0,,,,15,easa,,Q776714,EASA.A.239,https://www.easa.europa.eu/en/downloads/7220/en
